municipio_cvegeo,total_camas,Nom_Ent,Nom_Mun,municipio_cvegeo,total_camas,Nom_Mun,Entidad,Total_camas
7085,0,Chiapas,Soyaló,7085,0,Soyaló,,
7086,7,Chiapas,Suchiapa,7086,7,Suchiapa,,
7087,2,Chiapas,Suchiate,7087,2,Suchiate,,
7088,0,Chiapas,Sunuapa,7088,0,Sunuapa,,
7089,701,Chiapas,Tapachula,7089,701,Tapachula,,
7090,0,Chiapas,Tapalapa,7090,0,Tapalapa,,
7091,13,Chiapas,Tapilula,7091,13,Tapilula,,
7092,0,Chiapas,Tecpatán,7092,0,Tecpatán,,
7093,0,Chiapas,Tenejapa,7093,0,Tenejapa,,
7094,12,Chiapas,Teopisca,7094,12,Teopisca,,
7096,28,Chiapas,Tila,7096,28,Tila,,
7097,44,Chiapas,Tonalá,7097,44,Tonalá,,
7098,0,Chiapas,Totolapa,7098,0,Totolapa,,
7099,0,Chiapas,La Trinitaria,7099,0,La Trinitaria,,
7100,0,Chiapas,Tumbalá,7100,0,Tumbalá,,
7101,1143,Chiapas,Tuxtla Gutiérrez,7101,1143,Tuxtla Gutiérrez,,
7102,0,Chiapas,Tuxtla Chico,7102,0,Tuxtla Chico,,
7103,0,Chiapas,Tuzantán,7103,0,Tuzantán,,
7104,0,Chiapas,Tzimol,7104,0,Tzimol,,
7105,0,Chiapas,Unión Juárez,7105,0,Unión Juárez,,
7106,30,Chiapas,Venustiano Carranza,7106,30,Venustiano Carranza,,
7107,32,Chiapas,Villa Corzo,7107,32,Villa Corzo,,
7108,149,Chiapas,Villaflores,7108,149,Villaflores,,
7109,84,Chiapas,Yajalón,7109,84,Yajalón,,
7110,0,Chiapas,San Lucas,7110,0,San Lucas,,
7111,0,Chiapas,Zinacantán,7111,0,Zinacantán,,
7112,0,Chiapas,San Juan Cancuc,7112,0,San Juan Cancuc,,
7113,0,Chiapas,Aldama,7113,0,Aldama,,
7114,16,Chiapas,Benemérito de las Américas,7114,16,Benemérito de las Américas,,
7115,0,Chiapas,Maravilla Tenejapa,7115,0,Maravilla Tenejapa,,
7116,0,Chiapas,Marqués de Comillas,7116,0,Marqués de Comillas,,
7117,0,Chiapas,Montecristo de Guerrero,7117,0,Montecristo de Guerrero,,
7118,0,Chiapas,San Andrés Duraznal,7118,0,San Andrés Duraznal,,
7119,0,Chiapas,Santiago el Pinar,7119,0,Santiago el Pinar,,
8001,0,Chihuahua,Ahumada,8001,0,Ahumada,,
8002,6,Chihuahua,Aldama,8002,6,Aldama,,
8003,10,Chihuahua,Allende,8003,10,Allende,,
8004,0,Chihuahua,Aquiles Serdán,8004,0,Aquiles Serdán,,
8005,0,Chihuahua,Ascensión,8005,0,Ascensión,,
8006,0,Chihuahua,Bachíniva,8006,0,Bachíniva,,
8007,0,Chihuahua,Balleza,8007,0,Balleza,,
8008,0,Chihuahua,Batopilas de Manuel Gómez Morín,8008,0,Batopilas de Manuel Gómez Morín,,
8009,35,Chihuahua,Bocoyna,8009,35,Bocoyna,,
8010,0,Chihuahua,Buenaventura,8010,0,Buenaventura,,
8011,93,Chihuahua,Camargo,8011,93,Camargo,,
8012,0,Chihuahua,Carichí,8012,0,Carichí,,
