delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32
0.000630874,0.001881916,0.000173111,4.64E-05,0.000166865,0.000511898,0.001947948,0.000414634,0.000187983,0.000148721,0,0.000177275,0.000379833,0.002314694,0.002549375,0.002322725,0.000212374,0.000254015,7.47E-05,0.000129685,0.00037329,0.002870613,0.000159131,0.000935455,0.000411362,0.000409578,6.72E-05,0.000954194,6.81E-05,0.000517847,9.37E-05,0.000303093
8.63E-05,0.003196907,0.002215645,6.13E-05,0.000216835,0.000486913,0.003615407,0.000188281,0.000651695,6.63E-05,0.000381321,0,0.000272159,0.002081797,0.000437537,0.003634444,0.005259072,0.000624331,0.000272457,0.0009884,0.000843546,0.000266211,0.001255503,0.000147829,0.007915229,0.000947055,8.83E-05,0.000449435,9.67E-05,0.000696312,8.36E-05,6.31E-05
0.000204938,0.000769185,9.19E-05,4.25E-05,9.88E-05,0.00042088,0.000491374,0.0002326,6.87E-05,6.34E-05,5.06E-06,0.000196609,0,0.000847115,0.000748067,0.00031856,0.000317371,5.59E-05,0.000812612,0.000189471,9.67E-05,0.001214456,0.000167162,0.000434563,0.000200773,0.000101725,0.000106187,7.88E-05,0.000483046,0.001116002,5.86E-05,8.92E-05
0.00210351,0.000578525,0.0008605,8.21E-05,0.000359607,0.000906306,0.002722487,0.000674896,0.003568709,0.000436347,0.002597858,5.80E-05,0.000365259,0,0.002582094,0.003558299,0.000378049,0.003774242,0.001131172,0.000355443,0.000540452,0.000677275,0.000544914,0.000823617,0.001382808,0.001123438,0.000253718,0.000798929,9.55E-05,9.40E-05,0.000199584,2.23E-05
0.00162671,0.003196014,7.08E-05,0.000269185,0.001489292,0.001478584,0.051714753,9.34E-05,0.000379536,0.000411362,0.005602915,0.002860797,0.009042832,0.003885485,0,0.000506246,0.004942296,0.000394706,0.001827186,4.28E-05,0.007386972,0.005224866,0.002005057,0.001747769,0.000580904,0.000519334,0.00070345,0.000174301,0.000236764,0.006670732,0.000762344,0.000746877
0.000303688,0.004257287,0.000264426,8.63E-05,0.000161214,0.000439917,0.003367936,0.000309042,0.001484533,0.00014188,0.002782867,0.001357228,0.000317965,0.00532094,0.004856633,0,0.000554729,0.000627305,0.000554729,0.000251636,0.000382808,0.000926532,0.000169244,0.000282867,0.00050238,0.000578822,0.000121059,0.000586258,8.74E-05,0.00055235,8.74E-05,0.000156752
0.000123141,0.000756395,9.70E-05,4.70E-05,0.000137121,0.00017906,0.002802796,0.000136526,4.88E-05,4.34E-05,0.000315586,0.001977692,0.000235574,0.000459845,0.002680845,0.000421773,0,0.000108566,0.000226651,3.66E-05,0.001178168,0.000288221,3.36E-05,0.000114218,0.000164188,0.000127305,7.94E-05,0.000198096,0.0001163,0.000567519,7.73E-05,0.000158834
7.67E-05,0.003678465,0.000250744,9.52E-06,0.000128792,0.000132064,0.000229328,6.16E-05,0.00015348,0.000135931,0.000184711,0.000120167,5.59E-05,0.003839381,0.000238251,0.000298632,5.23E-05,0,9.37E-05,4.76E-05,5.26E-05,7.70E-05,4.07E-05,6.75E-05,0.0001047,0.000708209,3.60E-05,0.000101725,1.10E-05,0.000135336,1.81E-05,0.000129387
0.000227543,0.000361392,8.95E-05,7.29E-05,0.000174598,0.000765913,0.001174004,0.003654075,6.51E-05,0.000410173,5.03E-05,9.99E-05,0.000190363,0.000762046,0.000925937,0.000242415,0.00013028,7.14E-05,0,0.000146341,0.000265913,0.000267698,0.000248364,0.00196401,0.000210886,0.000251041,0.000154075,0.00504997,4.43E-05,0.000812612,0.000116895,0.000453896
0.000103807,0.003034206,0.000700773,0.000199881,0.001361392,0.001469066,0.006662106,0.000288221,0.00013028,6.75E-05,0.000283165,0.001067519,0.000272159,0.000919988,0.007815289,0.000478584,0.000744795,0.000239738,0.000673111,0,0.002763831,0.000288221,0.000693932,0.000151398,0.003675193,0.00111511,0.000436645,6.75E-05,0.000180547,0.004786734,0.000201963,7.38E-05
0.000190065,0.0018605,3.33E-05,0.000161511,0.000709697,6.69E-05,0.009007139,0.000349494,8.69E-05,8.45E-05,0.000569899,0.000532719,0.000160024,0.000868828,0.010486318,0.000506841,0.001614218,8.72E-05,0.000553837,0.001401844,0,0.000508031,0.000717133,0.00023141,0.000290898,0.000308745,0.000486615,0.00066508,0.003593992,0.005852766,0.000307258,9.13E-05
0.000136228,0.000291791,4.76E-05,2.17E-05,6.75E-05,0.00017906,0.001383403,0.000148721,5.44E-05,6.22E-05,0.001568114,0.000106187,0.000522308,0.000566032,0.001608566,0.000387864,0.000140393,6.54E-05,0.000380428,7.91E-05,0.0002326,0,0.000118977,0.00043367,8.42E-05,9.31E-05,3.03E-05,0.000350089,6.54E-05,0.000289709,5.53E-05,7.32E-05
3.48E-05,0.000123438,0.000115705,0.000882213,0.000335217,0.000109756,0.000677573,7.76E-05,3.87E-05,3.87E-05,8.18E-05,0.000208507,8.00E-05,0.000271565,0.000607377,9.82E-05,0.000127603,4.19E-05,0.000162998,0.000176681,0.000251933,7.58E-05,0,4.40E-05,4.25E-05,4.16E-05,0.000663891,0.000133254,4.13E-05,0.001153183,0.00391166,2.02E-05
0.000521416,0.000236466,5.38E-05,2.53E-05,3.93E-05,0.000301904,0.000932778,0.00071862,6.48E-05,0.000145152,8.36E-05,7.73E-05,0.000440512,0.000937835,0.001149018,0.000215645,0.000103212,0.000121059,0.006159429,7.35E-05,0.000150208,0.00064069,9.70E-05,0,0.000257287,0.000124628,4.94E-05,0.006028554,0.000193337,6.37E-05,3.42E-05,0.000560083
0.000124926,0.014277513,0.002071089,5.47E-05,0.000189471,0.001694825,0.000875669,0.000230518,0.000182035,0.000751636,0.000382808,0.000328673,9.76E-05,0.002530042,0.000629387,0.000375372,8.89E-05,0.001161808,0.000537478,0.000372397,0.000182927,0.000132362,0.000110054,0.000133254,0,0.007853064,7.70E-05,0.000250446,4.40E-05,0.000402142,7.05E-05,0.000151993
7.64E-05,0.006456276,0.00054997,1.46E-05,8.72E-05,0.001189471,0.000611243,0.000231707,8.89E-05,0.000207912,0.000274539,0.00015348,9.31E-05,0.001061273,0.000403034,0.000262344,7.82E-05,0.000416716,0.000534503,0.000214158,0.000165973,9.76E-05,4.70E-05,0.000135039,0.002372992,0,5.21E-05,0.000173111,3.96E-05,0.000281083,4.07E-05,9.37E-05
3.96E-05,0.000396788,4.55E-05,0.002828079,0.002267103,0.000343248,0.000803391,0.000298037,8.51E-05,2.65E-05,0.000112136,0.000144259,0.00011749,4.40E-05,0.000831648,0.0001395,0.000141285,2.68E-05,0.00048721,3.99E-05,0.000653183,0.000106484,0.000536288,7.82E-05,8.24E-05,0.00012909,0,0.000891731,8.33E-05,0.003110946,0.001394111,3.06E-05
0.000147531,0.000273647,4.88E-05,0.000276621,0.000263534,0.000396788,8.09E-05,0.001217133,7.97E-05,0.000185009,0.000578822,0.000151398,0.000323319,0.0005232,7.14E-06,0.00033373,0.000128495,6.34E-05,0.006642772,0.000223676,0.000298037,0.000266508,0.000178465,0.002125818,0.000127305,0.000132659,0.000278108,0,4.91E-05,0.000349197,0.000107674,0.000136228
2.91E-05,0.000302499,2.83E-05,1.81E-05,6.19E-05,8.86E-05,0.001462225,3.78E-05,1.13E-05,2.20E-05,0.000132064,6.34E-05,0.000368531,0.000145152,0.001610351,8.42E-05,0.00015467,1.43E-05,7.05E-05,9.79E-05,0.002178763,0.000114218,7.47E-05,5.21E-05,3.30E-05,2.94E-05,3.57E-05,6.16E-05,0,4.61E-05,3.30E-05,2.77E-05
0.000272159,0.005326294,0.000587448,0.001974717,0.002069007,0.00989768,0.009516657,0.002744795,0.000323022,0.000210291,0.000970256,0.000632064,0.002024985,0.002207615,0.012663296,0.000829566,0.0011163,0.000215943,0.005446758,0.004937835,0.008767103,0.001043724,0.006057406,0.000992564,0.00016627,0.001241225,0.003461333,0.021972338,0.000926829,0,0.001102023,0.000211481
2.11E-05,7.50E-05,1.96E-05,0.000856336,0.000149316,4.91E-05,0.000486318,0.000137418,1.49E-05,1.67E-05,7.23E-05,4.85E-05,5.00E-05,0.000156157,0.000337299,4.64E-05,5.68E-05,8.33E-06,0.000138608,0.000121356,0.000140988,5.18E-05,0.008943783,3.75E-05,3.24E-05,3.09E-05,0.000350387,9.22E-05,1.90E-05,0.000385187,0,1.55E-05
0.001845628,0.000576443,6.19E-05,4.49E-05,2.02E-05,0.002096669,0.000317073,0.001358418,4.19E-05,0.000674896,0.00033373,4.05E-05,6.72E-05,0.002200773,0.000429506,0.000105889,4.67E-05,0.00019066,0.001190363,3.81E-05,8.00E-05,9.37E-05,1.99E-05,0.00071862,0.00033492,0.000179952,1.34E-05,0.00033135,1.81E-05,9.82E-05,2.53E-05,0
