CLAVE_CLIENTE,CVE_UNIDAD_NEGOCIO,UNIDAD_NEGOCIO,EMISORA_FONDO,DESC_CE_FINANCIERO,SALDO_CLIENTE,TIPO_OPERACION,GENERO,Edad,ENROLADO,FECHA_TRANSACCION
90846619,1,BANCO,ACTIMED,Jalisco,1130849.289,COMPRA,MASCULINO,72.66944444,NO ENROLADO,14/02/20
90865346,1,BANCO,ALTERNA,Ciudad de Mexico,385000.3892,VENTA,MASCULINO,72.96111111,NO ENROLADO,14/02/20
90907932,1,BANCO,ACTIMED,Ciudad de Mexico,11722.40683,VENTA,MASCULINO,54.27222222,ENROLADO,14/02/20
90966706,1,BANCO,IMPULSA,Tijuana,430012.2292,VENTA,FEMENINO,49.64444444,ENROLADO,14/02/20
90987413,1,BANCO,ACTIMED,Ciudad de Mexico,232082.79,VENTA,FEMENINO,80.86944444,NO ENROLADO,14/02/20
91014761,1,BANCO,ACTI500,Queretaro,931188.9557,VENTA,MASCULINO,71.06944444,ENROLADO,14/02/20
91025536,1,BANCO,CUENTA_EJE,Ciudad de Mexico,462306.2363,RETIRO,MASCULINO,42.79722222,ENROLADO,14/02/20
91049189,1,BANCO,ACTVIDA,Ciudad de Mexico,106937.5206,VENTA,FEMENINO,39.86388889,ENROLADO,14/02/20
91061119,1,BANCO,IMPULSA,Ciudad de Mexico,949599.1081,VENTA,MASCULINO,86.86388889,NO ENROLADO,14/02/20
91074583,1,BANCO,ACTIMED,Ciudad de Mexico,461123.9814,VENTA,FEMENINO,48.72222222,ENROLADO,14/02/20
91132662,1,BANCO,ALTERNA,Ciudad de Mexico,1535102.35,VENTA,FEMENINO,75.18333333,NO ENROLADO,14/02/20
91138974,1,BANCO,ALTERNA,Ciudad de Mexico,261517.0445,VENTA,FEMENINO,73.55277778,NO ENROLADO,14/02/20
91186692,1,BANCO,ACTIMED,Jalisco,2929021.071,VENTA,MASCULINO,60.73611111,ENROLADO,14/02/20
91227330,1,BANCO,CUENTA_EJE,Ciudad de Mexico,50078.07,RETIRO,MASCULINO,51.01666667,NO ENROLADO,14/02/20
91248344,1,BANCO,ACTIMED,Jalisco,102197.6295,VENTA,FEMENINO,58.70833333,ENROLADO,14/02/20
91257535,1,BANCO,IMPULSA,Jalisco,1159964.782,VENTA,MASCULINO,67.05833333,ENROLADO,14/02/20
91274548,1,BANCO,CUENTA_EJE,Ciudad de Mexico,5624.18,RETIRO,FEMENINO,49.13333333,ENROLADO,14/02/20
91403022,1,BANCO,ACTVIDA,Jalisco,61417.17291,VENTA,FEMENINO,49.05555556,ENROLADO,14/02/20
91518886,1,BANCO,ACTIMED,Jalisco,16533.82551,VENTA,MASCULINO,40.13611111,NO ENROLADO,14/02/20
91572867,1,BANCO,ACTI500,Ciudad de Mexico,5416719.536,VENTA,MASCULINO,82.45277778,ENROLADO,14/02/20
91606756,1,BANCO,ACTIMED,Toluca,31754.42032,VENTA,MASCULINO,51.63055556,ENROLADO,14/02/20
91634907,1,BANCO,ACTVIDA,Ciudad de Mexico,71116.1,VENTA,FEMENINO,75.61111111,ENROLADO,14/02/20
91653998,1,BANCO,CUENTA_EJE,Jalisco,670904.9196,RETIRO,FEMENINO,71.325,ENROLADO,14/02/20
91720706,1,BANCO,ACTIMED,Ciudad de Mexico,372681.981,VENTA,FEMENINO,49.82222222,ENROLADO,14/02/20
91727586,1,BANCO,ALTERNA,Ciudad de Mexico,1002351.123,VENTA,FEMENINO,43.28333333,ENROLADO,14/02/20
91778340,1,BANCO,ACTIMED,Culiacan,3777608.318,VENTA,MASCULINO,80.28611111,ENROLADO,14/02/20
91805622,1,BANCO,EVEREST,Tijuana,152957.2485,TRASPASO OUT,MASCULINO,70.69444444,ENROLADO,14/02/20
91839027,1,BANCO,IMPULSA,Ciudad de Mexico,80526.93754,VENTA,FEMENINO,66.04444444,ENROLADO,14/02/20
