,CLAVE_CLIENTE,CVE_UNIDAD_NEGOCIO,UNIDAD_NEGOCIO,EMISORA_FONDO,DESC_CE_FINANCIERO,SALDO_CLIENTE,TIPO_OPERACION,GENERO,Edad,ENROLADO,FECHA_TRANSACCION,ENTIDAD_FEDERATIVA,LAT,LONG
44,93814275.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,89016.64821,COMPRA,FEMENINO,49.125,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
45,93856649.0,1.0,BANCO,ACTIREN,CIUDAD DE MÉXICO,143365.9774,VENTA,MASCULINO,42.79444444,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
46,93866812.0,1.0,BANCO,ACTIGOB,CIUDAD DE MÉXICO,310950.999,COMPRA,FEMENINO,56.83333333,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
47,93866838.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,882910.78,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",MASCULINO,29.16666667,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
48,93922987.0,1.0,BANCO,ACTIREN,CIUDAD DE MÉXICO,188378.5432,VENTA,MASCULINO,58.73888889,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
49,93926616.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,379168.7989,VENTA,MASCULINO,58.16666667,NO ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
50,93934958.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,335550.2817,VENTA,FEMENINO,75.59722222,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
51,94051307.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,7659.845548,COMPRA,MASCULINO,58.57777778,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
52,94275641.0,1.0,BANCO,ACTIREN,CIUDAD DE MÉXICO,104493.2477,VENTA,FEMENINO,40.56388889,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
53,94509148.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,333248.6292,VENTA,FEMENINO,52.91111111,NO ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
54,94543253.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,534620.1415,VENTA,FEMENINO,69.09166667,NO ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
55,94561065.0,1.0,BANCO,IMPULSA,CIUDAD DE MÉXICO,2756049.5919999997,VENTA,FEMENINO,66.73055556,NO ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
56,95162954.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,394706.3471,VENTA,FEMENINO,86.91388889,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
57,95238481.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,100.97061500000001,COMPRA,MASCULINO,32.21111111,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
58,95261921.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,788122.1134,COMPRA,FEMENINO,31.41666667,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
59,95314589.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,2467488.571,VENTA,FEMENINO,71.05277778,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
60,95317301.0,1.0,BANCO,ACTIPLU,CIUDAD DE MÉXICO,1329609.5590000001,VENTA,MASCULINO,54.06388889,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
61,95356788.0,1.0,BANCO,MAYA,CIUDAD DE MÉXICO,440843.8029,COMPRA,MASCULINO,38.05277778,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
62,95487088.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,100668.4,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,57.43055556,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
63,95672275.0,2.0,CASA DE BOLSA,VTLS-RF   ,CIUDAD DE MÉXICO,13023097.44,COMPRA                                                                                              ,MASCULINO,45.30555556,NO ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
64,95715280.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,311713.8595,VENTA,FEMENINO,41.63055556,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
65,95729224.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,1963925.13,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",MASCULINO,44.18055556,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
66,95737763.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,255276.49,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,50.93611111,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
67,95878146.0,1.0,BANCO,ACTIREN,CIUDAD DE MÉXICO,22481.39648,VENTA,MASCULINO,47.22777778,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
68,95879466.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,319370.63,RETIRO,MASCULINO,41.15555556,NO ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
69,95885802.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,5186868.206,COMPRA,FEMENINO,49.01944444,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
70,96024674.0,2.0,CASA DE BOLSA,ACTIMED   ,CIUDAD DE MÉXICO,752555.13,VENTA                                                                                               ,MASCULINO,39.25,NO ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
71,96037379.0,2.0,CASA DE BOLSA,ACTIMED   ,CIUDAD DE MÉXICO,338380.97,COMPRA                                                                                              ,MASCULINO,48.25277778,NO ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
72,96070230.0,1.0,BANCO,ACTIREN,CIUDAD DE MÉXICO,107898.7689,COMPRA,FEMENINO,36.35555556,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
73,96087416.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,1624569.74,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,63.00555556,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
74,96099643.0,2.0,CASA DE BOLSA,DLRTRAC   ,CIUDAD DE MÉXICO,498465.42,COMPRA                                                                                              ,MASCULINO,60.20555556,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
75,96108493.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,340071.29,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,32.80555556,ENROLADO,2020-04-01,CIUDAD DE MÉXICO,19.4285,99.1277
76,90468059.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,945433.8470000001,VENTA,MASCULINO,68.78055556,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
77,90611609.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,1304763.3,VENTA,MASCULINO,65.28333333,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
78,90661588.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,961462.5495,VENTA,MASCULINO,91.09722222,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
79,90881095.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,1623661.656,VENTA,FEMENINO,80.78055556,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
80,90935776.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,4824724.527,VENTA,FEMENINO,62.76388889,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
81,91073478.0,1.0,BANCO,IMPULSA,CIUDAD DE MÉXICO,524471.0302,COMPRA,FEMENINO,77.03055556,NO ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
82,91332635.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,0.0,RETIRO,FEMENINO,64.78888889,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
83,91451179.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,864060.6712,VENTA,FEMENINO,46.61944444,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
84,91635391.0,1.0,BANCO,IMPULSA,CIUDAD DE MÉXICO,282971.22,VENTA,MASCULINO,48.60277778,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
85,91715995.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,379214.1566,VENTA,FEMENINO,73.375,NO ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
86,91722082.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,399879.5173,RETIRO,FEMENINO,86.01944444,NO ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
87,92043926.0,1.0,BANCO,EVEREST,CIUDAD DE MÉXICO,23588.94254,VENTA,FEMENINO,81.75555556,NO ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
88,92050079.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,596371.8886,VENTA,FEMENINO,59.30555556,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
89,92106996.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,1195201.656,VENTA,FEMENINO,76.35833333,NO ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
90,92287762.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,95006.65385,COMPRA,FEMENINO,61.24444444,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
91,92352418.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,202757.6224,RETIRO,FEMENINO,44.44444444,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
92,92748888.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,707974.2469,VENTA,FEMENINO,48.3,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
93,92817709.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,208646.6096,COMPRA,FEMENINO,36.71388889,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
94,93199529.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,776506.8929999999,VENTA,FEMENINO,84.58888889,NO ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
95,93220069.0,1.0,BANCO,IMPULSA,CIUDAD DE MÉXICO,132833.9241,COMPRA,FEMENINO,50.45,NO ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
96,93339042.0,1.0,BANCO,SNX,CIUDAD DE MÉXICO,712593.7812,COMPRA,MASCULINO,46.93055556,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
97,93460525.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,79642.40673,VENTA,MASCULINO,62.91944444,NO ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
98,93670743.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,92490.84,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,52.84722222,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
99,93837755.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,3068640.735,RETIRO,FEMENINO,54.73611111,NO ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
100,93909976.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,1150914.627,RETIRO,MASCULINO,72.49444444,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
101,93923258.0,1.0,BANCO,ACTIREN,CIUDAD DE MÉXICO,196234.7013,COMPRA,FEMENINO,55.25,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
102,94040722.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,194570.9041,COMPRA,MASCULINO,37.91666667,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
103,94794708.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,121046.6528,COMPRA,FEMENINO,51.64444444,NO ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
104,95170023.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,75396.07564,VENTA,MASCULINO,67.91111111,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
105,95750584.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,102947.04,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",FEMENINO,49.41666667,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
106,95882460.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,60533.68,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",FEMENINO,42.37222222,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
107,95930608.0,2.0,CASA DE BOLSA,ACTIREN   ,CIUDAD DE MÉXICO,306856.18,VENTA                                                                                               ,MASCULINO,41.56944444,ENROLADO,2020-03-02,CIUDAD DE MÉXICO,19.4285,99.1277
108,90000530.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,15645.17,DEPOSITO,FEMENINO,51.20277778,ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
109,90001249.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,875672.8559,VENTA,FEMENINO,49.8,ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
110,90001264.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,3159.73,RETIRO,FEMENINO,36.21666667,ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
111,90001389.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,20361791.11,VENTA,MASCULINO,62.09166667,ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
112,90027467.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,77975.43,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,50.91944444,ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
113,90426644.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,4191.72,VENTA,FEMENINO,40.75833333,ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
114,90470402.0,1.0,BANCO,ALTERNA,CIUDAD DE MÉXICO,1128679.106,COMPRA,FEMENINO,52.375,ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
115,90728411.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,2204878.478,VENTA,FEMENINO,67.50555556,ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
116,90898297.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,118799.9575,VENTA,MASCULINO,33.80277778,ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
117,90937855.0,2.0,CASA DE BOLSA,EFECTIVO,CIUDAD DE MÉXICO,703543.62,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,59.56388889,ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
118,90973678.0,1.0,BANCO,ACTIREN,CIUDAD DE MÉXICO,31761.924619999998,VENTA,FEMENINO,38.93611111,ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
119,91042762.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,1769521.501,DEPOSITO,MASCULINO,70.42777778,NO ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
120,91222265.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,617108.9947,COMPRA,FEMENINO,31.33055556,ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
121,91340869.0,1.0,BANCO,IMPULSA,CIUDAD DE MÉXICO,395338.2665,VENTA,FEMENINO,51.45555556,NO ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
122,91445361.0,1.0,BANCO,ACTIGOB,CIUDAD DE MÉXICO,1836166.8390000002,VENTA,MASCULINO,60.825,NO ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
123,91469759.0,1.0,BANCO,CUENTA_EJE,CIUDAD DE MÉXICO,5081089.666999999,RETIRO,FEMENINO,83.42222222,NO ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
124,91624817.0,1.0,BANCO,ACTIMED,CIUDAD DE MÉXICO,369555.9136,VENTA,FEMENINO,86.02777778,ENROLADO,2020-04-02,CIUDAD DE MÉXICO,19.4285,99.1277
