CLAVE_CLIENTE,CVE_UNIDAD_NEGOCIO,UNIDAD_NEGOCIO,EMISORA_FONDO,DESC_CE_FINANCIERO,SALDO_CLIENTE,TIPO_OPERACION,GENERO,Edad,ENROLADO
90032137,2,CASA DE BOLSA,EFECTIVO,Queretaro,8151935.37,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,83,NO ENROLADO
90034364,2,CASA DE BOLSA,WALMEX    ,Cuernavaca,426831.13,COMPRA                                                                                              ,MASCULINO,86,NO ENROLADO
90035148,2,CASA DE BOLSA,ACTIMED   ,Toluca,878147.61,COMPRA                                                                                              ,FEMENINO,89,NO ENROLADO
90035239,2,CASA DE BOLSA,ACTIMED   ,Ciudad de Mexico,327468.31,VENTA                                                                                               ,FEMENINO,86,NO ENROLADO
90036096,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,1825494.53,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,58,ENROLADO
90039348,2,CASA DE BOLSA,EFECTIVO,Toluca,3288601.68,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,58,ENROLADO
90040221,2,CASA DE BOLSA,EFECTIVO,Morelia,537324.43,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,80,NO ENROLADO
90040825,2,CASA DE BOLSA,EFECTIVO,Queretaro,413416.43,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,41,ENROLADO
90042565,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,51565.41,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,66,NO ENROLADO
90046780,1,BANCO,ACTIMED,Leon,1539126.105,VENTA,MASCULINO,35,ENROLADO
90047226,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,65789.91,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,46,ENROLADO
90047267,2,CASA DE BOLSA,EFECTIVO,Toluca,1697127.125,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,87,NO ENROLADO
90048802,1,BANCO,ALTERNA,Ciudad de Mexico,98760.95766,COMPRA,MASCULINO,28,ENROLADO
90049784,2,CASA DE BOLSA,ACTIREN   ,Ciudad de Mexico,3394900.04,VENTA                                                                                               ,MASCULINO,63,ENROLADO
90052085,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,1067749.19,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,49,ENROLADO
90053455,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,752206.7,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,69,ENROLADO
90054321,2,CASA DE BOLSA,CEMEX     ,Ciudad de Mexico,389648.35,COMPRA                                                                                              ,MASCULINO,46,NO ENROLADO
90054834,2,CASA DE BOLSA,PROTEGE   ,Ciudad de Mexico,236525.48,VENTA                                                                                               ,FEMENINO,29,NO ENROLADO
90057712,1,BANCO,ACTIMED,Ciudad de Mexico,49044.8916,COMPRA,MASCULINO,40,ENROLADO
90060476,2,CASA DE BOLSA,EFECTIVO,Saltillo,2217226.54,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,53,NO ENROLADO
90063900,2,CASA DE BOLSA,ALTERNA   ,Ciudad de Mexico,385007.88,VENTA                                                                                               ,MASCULINO,30,ENROLADO
90064874,2,CASA DE BOLSA,ACTIMED   ,Ciudad de Mexico,45677.13,VENTA                                                                                               ,MASCULINO,24,ENROLADO
90065418,2,CASA DE BOLSA,ALTERNA   ,Ciudad de Mexico,117121.59,VENTA                                                                                               ,MASCULINO,31,ENROLADO
90068065,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,1022455.25,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",FEMENINO,36,ENROLADO
90068123,2,CASA DE BOLSA,EFECTIVO,Monterrey,649583.82,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,85,NO ENROLADO
90068438,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,881563.98,"RET, TRASPASO ENTRE CONTRATOS                                                                       ",FEMENINO,84,NO ENROLADO
90069410,2,CASA DE BOLSA,ACTIMED   ,Morelia,714820.28,VENTA                                                                                               ,MASCULINO,57,ENROLADO
90072505,2,CASA DE BOLSA,EFECTIVO,Cuernavaca,754035.7,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,77,NO ENROLADO
90072778,2,CASA DE BOLSA,EFECTIVO,Monterrey,0.9,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,35,NO ENROLADO
90074733,2,CASA DE BOLSA,EFECTIVO,Ciudad de Mexico,3514042.29,"RET, DEPOSITO EN SU CHEQUERA                                                                        ",MASCULINO,52,NO ENROLADO
